,repeat,fold,avgtop
0,1.0,0.0,0.1434388803525103
1,1.0,1.0,0.0955628492108999
2,1.0,2.0,0.2227784150240876
3,1.0,3.0,0.1851172547216888
4,1.0,4.0,0.0637150085624932
5,2.0,0.0,0.0558110941201448
6,2.0,1.0,0.1270177534246069
7,2.0,2.0,0.100947453164392
8,2.0,3.0,0.2979687052576438
9,2.0,4.0,0.2082222287441782
10,3.0,0.0,0.1108462746480321
11,3.0,1.0,0.0453600132282228
12,3.0,2.0,0.5210736864337734
13,3.0,3.0,0.1418990393662277
14,3.0,4.0,0.0900946663888661
mean,-,-,0.16065688817651783
std,-,-,0.12136158480531113
